phone,price,title,sub_title,km,marque,location,capacite,annee,link_car,modele
799,109 100,Volkswagen Passat B8,Limousine 2.0 TDI 150KM City Media LED Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-limousine-2-0-tdi-150km-city-media-led-wyprzedaz-rocznika-w-aso-ID6zNW6M.html#a1e7463c76,Passat
533,18 450,Opel Corsa D,"1.2(80KM) 5d, bezwypadkowy, udok przebieg 97tys km PEŁNA DOKUMENTACJA",97 830 km,Opel,"Wołomin, wołomiński, Mazowieckie",1 229 cm3,2009,https://www.otomoto.pl/oferta/opel-corsa-1-280km-5d-bezwypadkowy-udok-przebieg-97tys-km-pelna-dokumentacja-ID6BA39v.html#a1e7463c76,Corsa
533,10 900,Audi A3 8L,1.6*102KM*Klima*Alu*Lift*5D*Zadbana!!!,164 000 km,Audi,"Chodel, opolski, Lubelskie",1 600 cm3,2001,https://www.otomoto.pl/oferta/audi-a3-1-6102kmklimaalulift5dzadbana-ID6BzreN.html#a1e7463c76,A3
533,31 500,Mercedes-Benz CLK W209,200*Serwis*Xenon*Skóra*Navi*Alu*Klima*PDC*Full,169 000 km,Mercedes-Benz,"Poniatowa, opolski, Lubelskie",1 800 cm3,2007,https://www.otomoto.pl/oferta/mercedes-benz-clk-200serwisxenonskoranavialuklimapdcfull-ID6Bztwe.html#a1e7463c76,CLK
222,65 599,Opel Astra K,1.4 Turbo 125KM 'Enjoy' + Biznes Plus| WYPRZEDAŻ ! SUPER CENA !,1 km,Opel,"Aleje Jerozolimskie - 00-001 Warszawa, Śródmieście (Polska)",1 399 cm3,2018,https://www.otomoto.pl/oferta/opel-astra-1-4-turbo-125km-enjoy-biznes-plus-wyprzedaz-super-cena-ID6Bzttd.html#a1e7463c76,Astra
799,105 220,Volkswagen Passat B8,Limousine 2.0 TDI 150KM City LED Zimowy Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-limousine-2-0-tdi-150km-city-led-zimowy-wyprzedaz-rocznika-w-aso-ID6ADkG3.html#a1e7463c76,Passat
+48,67 900,Volkswagen Tiguan I,"2.0TDI 140KM SalonPL,1Właściciel,Serwis,Bezwypadek,VAT23,Gwarancja",97 300 km,Volkswagen,"lubelska 50E - 35-233 Rzeszów, Podkarpackie (Polska)",1 968 cm3,2014,https://www.otomoto.pl/oferta/volkswagen-tiguan-2-0tdi-140km-salonpl-1wlasciciel-serwis-bezwypadek-vat23-gwarancja-ID6Br6iH.html#a1e7463c76,Tiguan
799,74 600,Volkswagen Golf VII,FL Variant 1.0 TSI 115 KM City Alarm Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",999 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-fl-variant-1-0-tsi-115-km-city-alarm-wyprzedaz-rocznika-w-aso-ID6zYxCc.html#a1e7463c76,Golf
799,56 630,Volkswagen Polo VI,NOWE POLO - 1.0 TSI 95KM Comfortline Komfort Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",999 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-polo-nowe-polo-1-0-tsi-95km-comfortline-komfort-wyprzedaz-rocznika-w-aso-ID6AP4pJ.html#a1e7463c76,Polo
799,173 190,Volkswagen Passat B8,Limousine 2.0 TDI 190KM DSG Highline R-Line Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-passat-limousine-2-0-tdi-190km-dsg-highline-r-line-wyprzedaz-rocznika-w-aso-ID6AcKlB.html#a1e7463c76,Passat
799,82 520,Volkswagen Golf VII,FL 1.6 TDI 115 KM Comfortline LED Business Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 598 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-fl-1-6-tdi-115-km-comfortline-led-business-wyprzedaz-rocznika-w-aso-ID6AV3G9.html#a1e7463c76,Golf
799,79 500,Volkswagen Golf VII,FL 1.6 TDI 115KM Comfortline LED Mid Business Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 598 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-fl-1-6-tdi-115km-comfortline-led-mid-business-wyprzedaz-rocznika-w-aso-ID6AT0O9.html#a1e7463c76,Golf
603,18 900,Audi A4 B7,"Wersja S line, 2008 r., webasto, w kraju od 2010 r.",171 000 km,Audi,"Poznań, Wielkopolskie, Stare Miasto",1 968 cm3,2008,https://www.otomoto.pl/oferta/audi-a4-wersja-s-line-2008-r-webasto-w-kraju-od-2010-r-ID6z9efz.html#a1e7463c76,A4
799,83 200,Volkswagen T-Roc,1.0 TSI 115KM Pakiet Komfort Zimowy  Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",999 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-t-roc-1-0-tsi-115km-pakiet-komfort-zimowy-wyprzedaz-rocznika-w-aso-ID6Buahe.html#a1e7463c76,T-Roc
533,15 900,Ford Maverick,Serwis*Reduktor*4x4*Webasto*Tempomat*Skóra*Klima*Alu*XLT,179 000 km,Ford,"Niezabitów, opolski, Lubelskie",2 000 cm3,2004,https://www.otomoto.pl/oferta/ford-maverick-serwisreduktor4x4webastotempomatskoraklimaaluxlt-ID6Bzrio.html#a1e7463c76,Maverick
519,36 900,Audi A3 8P,"SPORT 2.0T benzyna 200KM SKÓRY, łopatki F1, czarna perła 2010 LIFT ! !",131 000 km,Audi,"Zamość, Lubelskie",2 000 cm3,2010,https://www.otomoto.pl/oferta/audi-a3-sport-2-0t-benzyna-200km-skory-lopatki-f1-czarna-perla-2010-lift-ID6BzYby.html#a1e7463c76,A3
799,142 550,Volkswagen Tiguan II,2.0 TDI 150KM Highline R-Line Ex Premium Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 968 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-tiguan-2-0-tdi-150km-highline-r-line-ex-premium-wyprzedaz-rocznika-w-aso-ID6B91yI.html#a1e7463c76,Tiguan
799,93 150,Volkswagen Golf VII,FL 1.5 TSI 130KM DSG Comfortline Komfort Wyprzedaż Rocznika w ASO,10 km,Volkswagen,"ul. Radzymińska 78 - 03-752 Warszawa, Praga-Północ (Polska)",1 500 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-fl-1-5-tsi-130km-dsg-comfortline-komfort-wyprzedaz-rocznika-w-aso-ID6zvA1l.html#a1e7463c76,Golf
509,38 900,Lexus LS III,430 rok 2006 Lift Wersja President,299 000 km,Lexus,"Gdańsk, Pomorskie, Piecki-Migowo",4 300 cm3,2006,https://www.otomoto.pl/oferta/lexus-ls-430-rok-2006-lift-wersja-president-ID6BztmL.html#e5be029ab4,LS
530,78 237,Kia Sportage IV,1.6 132KM Wersja S,4 km,Kia,"Ks. Jerzego Popiełuszki 2 - 87-100 Toruń, Kujawsko-pomorskie (Polska)",1 600 cm3,2018,https://www.otomoto.pl/oferta/kia-sportage-1-6-132km-wersja-s-ID6BztxZ.html#a1e7463c76,Sportage
122,94 900,Opel,Grandland x 1.2 130 km,18 260 km,Opel,"GÓRA LIBERTOWSKA 12 - 30-444 Libertów, krakowski, Małopolskie (Polska)",1 199 cm3,2017,https://www.otomoto.pl/oferta/opel-grandland-x-1-2-130-km-ID6A4oV0.html#a1e7463c76,Inny
519,45 900,BMW Seria 3 E90,X DRIVE 4x4 2.0d 184KM oryg. M PAKIET skóry NAVI jak nowa 155.000km!!,155 000 km,BMW,"Tomaszów Lubelski, tomaszowski, Lubelskie",2 000 cm3,2010,https://www.otomoto.pl/oferta/bmw-seria-3-x-drive-4x4-2-0d-184km-oryg-m-pakiet-skory-navi-jak-nowa-155-000km-ID6BydEX.html#a1e7463c76,Seria 3
530,1 350,Citroën Xsara I,"Xsara 1,4 benzyna/5drzwi/OC do maja 2019r/progi i podłoga całe",259 500 km,Citroën,"Gliwice, Śląskie, Sośnica",1 400 cm3,1999,https://www.otomoto.pl/oferta/citroen-xsara-xsara-1-4-benzyna-5drzwi-oc-do-maja-2019r-progi-i-podloga-cale-ID6Bzted.html#e5be029ab4,Xsara
601,23 900,Citroën C1 II,"Okazja , zadbany stan bardzo dobry",28 650 km,Citroën,"Nakło Śląskie, tarnogórski, Śląskie",998 cm3,2016,https://www.otomoto.pl/oferta/citroen-c1-okazja-zadbany-stan-bardzo-dobry-ID6BwmJE.html#e5be029ab4,C1
799,57 700,Volkswagen Polo VI,Comfortline 1.0 TSI 95 KM - Wyprzedaż Rocznika w ASO,5 km,Volkswagen,"Szczecińska 36/38 - 91-222 Łódź, Bałuty (Polska)",1 000 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-polo-comfortline-1-0-tsi-95-km-wyprzedaz-rocznika-w-aso-ID6ByLRl.html#e5be029ab4,Polo
666,9 900,Opel Corsa D,VAT 1 Ciekawa Wersja dla firmy Zyskuj odliczaj Faktura Vat,397 000 km,Opel,"Margonińska 3A - 64-800 Rataje, chodzieski, Wielkopolskie (Polska)",1 248 cm3,2010,https://www.otomoto.pl/oferta/opel-corsa-vat-1-ciekawa-wersja-dla-firmy-zyskuj-odliczaj-faktura-vat-ID6BA37d.html#e5be029ab4,Corsa
799,131 500,Volkswagen Tiguan II,COMFORTLINE 2.0 TDI 150 KM DSG  Wyprzedaż Rocznika w ASO,5 km,Volkswagen,"Szczecińska 36/38 - 91-222 Łódź, Bałuty (Polska)",2 000 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-tiguan-comfortline-2-0-tdi-150-km-dsg-wyprzedaz-rocznika-w-aso-ID6ByI9u.html#e5be029ab4,Tiguan
609,339 318,Audi A6 C8,3.0 TDI quattro 286 KM Tiptronic Wyprzedaż rocznika w ASO,10 km,Audi,"Bukowska 287A - 60-189 Poznań, Grunwald (Polska)",2 967 cm3,2018,https://www.otomoto.pl/oferta/audi-a6-3-0-tdi-quattro-286-km-tiptronic-wyprzedaz-rocznika-w-aso-ID6B6Sfy.html#e5be029ab4,A6
799,66 420,Volkswagen Golf VII,Golf Trendline 1.0 TSI 85 KM LED - Wyprzedaż Rocznika w ASO,5 km,Volkswagen,"Szczecińska 36/38 - 91-222 Łódź, Bałuty (Polska)",1 000 cm3,2018,https://www.otomoto.pl/oferta/volkswagen-golf-golf-trendline-1-0-tsi-85-km-led-wyprzedaz-rocznika-w-aso-ID6AWmaz.html#e5be029ab4,Golf
+48,58 900,Peugeot 508,2.0 HDI 163 KM SUPER Stan,135 293 km,Peugeot,"Złoty Stok, ząbkowicki, Dolnośląskie",1 997 cm3,2015,https://www.otomoto.pl/oferta/peugeot-508-2-0-hdi-163-km-super-stan-ID6AWzPl.html#e5be029ab4,508
609,451 466,Audi A6 C8,Avant 3.0 TDI quattro 286 KM Tiptronic Wyprzedaż rocznika w ASO,10 km,Audi,"Bukowska 287A - 60-189 Poznań, Grunwald (Polska)",2 967 cm3,2018,https://www.otomoto.pl/oferta/audi-a6-avant-3-0-tdi-quattro-286-km-tiptronic-wyprzedaz-rocznika-w-aso-ID6BqLhM.html#e5be029ab4,A6
